Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income,Target
0,0,0,1,0,96,480,1,2,2500,0
0,0,0,1,1,200,360,1,1,6400,1
0,1,3,1,0,157,180,1,1,6417,1
0,1,1,1,0,151,360,1,2,6642,0
0,0,0,0,0,133,360,1,1,6216,0
0,1,0,1,0,480,360,1,0,27500,1
0,0,0,1,0,140,360,1,1,6000,1
0,1,0,0,0,133,360,1,1,4887,0
0,1,2,1,0,150,360,0,1,5050,0
1,0,0,1,0,103,360,0,2,3300,0
0,1,0,1,0,104,360,1,2,4618,1
0,1,1,1,1,130,360,1,1,4676,1
0,0,0,0,0,110,360,1,1,3833,1
0,1,2,1,1,400,360,1,1,17500,1
0,1,0,0,0,144.2566268,360,0,0,6146,0
0,0,0,1,0,63,480,0,2,2237,0
1,0,0,1,0,120,360,1,2,3086,1
0,1,3,0,0,100,360,1,2,4833,1
0,1,2,1,1,106,360,0,2,2726,0
0,1,0,1,1,260,360,1,0,16120,1
0,1,1,1,1,66,300,0,1,2178,0
0,1,1,1,0,158,360,1,0,6583,1
0,0,0,1,0,76,360,1,2,3858,1
0,0,0,0,0,130,360,1,2,6783,1
0,1,1,1,0,201,360,1,0,7535,0
0,0,0,0,0,126,180,0,0,5454,0
1,0,0,0,0,120,347.2492009,1,0,4272,1
1,0,0,1,0,71,360,1,2,4160,1
0,1,2,1,0,243,360,1,1,7926,1
0,0,0,0,0,60,180,1,0,2717,1
1,1,0,0,1,138,360,1,1,7142,1
0,1,2,1,1,480,360,1,1,15114,1
0,1,1,1,0,61,360,1,1,1880,0
0,1,2,1,0,144.2566268,360,1,0,4550,0
0,1,2,0,1,187,360,1,1,7383,0
0,0,0,1,0,125,360,1,0,4950,1
1,0,1,1,0,90,360,1,0,4436,1
1,0,0,1,0,9,360,1,0,2378,0
0,1,0,1,0,88,360,1,0,4192,1
0,1,3,0,0,173,360,1,1,4234,0
0,1,0,1,0,160,360,1,2,4957,1
1,0,0,1,0,280,360,1,2,8333,1
0,1,3,1,0,290,360,1,2,11750,0
0,1,0,1,0,144.2566268,360,1,0,3338,1
0,1,0,1,0,130,360,1,2,4310,1
0,1,3,1,0,40,180,1,1,4106,1
0,0,0,0,0,96,360,1,2,5484,1
0,0,2,1,0,110,360,0,1,3588,0
0,1,0,1,0,132,180,0,1,7859,0
0,1,2,1,0,216,360,0,0,7400,0
0,1,3,1,0,150,360,1,2,6406,0
1,0,2,1,0,138,360,1,0,3427,0
0,1,0,1,0,160,360,1,0,4570,1
0,0,0,1,0,311,360,1,1,9481,0
0,1,2,0,0,126,360,1,0,5251,1
0,1,2,0,0,125,360,0,1,3564,0
0,1,0,0,0,100,480,0,0,4666,0
0,1,2,1,0,210,360,1,2,7945,1
0,1,0,1,1,191,360,1,2,9560,1
1,1,0,1,0,84,360,1,1,4583,0
1,0,0,1,0,144,360,1,2,6275,1
0,1,1,1,0,200,360,1,2,6875,1
0,1,1,0,0,140,180,1,0,4493,0
0,1,0,0,1,87,360,1,2,5080,0
0,1,1,1,0,44,360,1,0,5649,1
1,0,0,1,1,194,360,1,1,7441,0
0,1,1,0,0,135,360,1,0,4583,1
0,1,1,1,0,96,360,1,0,3428,1
1,0,0,1,0,103,360,0,2,5000,0
0,1,0,1,0,265,360,1,2,8250,0
0,1,0,1,0,175,360,1,1,7710,0
0,1,0,1,0,153,360,1,1,5203,1
1,1,0,1,0,112,360,1,1,4583,0
0,1,2,1,0,258,360,0,0,8799,0
0,1,0,1,0,188,180,1,1,9328,1
0,1,3,1,1,260,360,1,2,10139,1
1,0,1,1,0,40,360,1,0,13262,1
0,1,2,0,0,81,360,1,0,5093,1
0,0,0,1,0,134,360,1,2,4269,1
0,0,0,1,0,242,360,0,2,14999,0
0,1,0,1,0,96,360,1,2,3723,1
0,0,0,1,0,98,360,0,2,4166,0
0,0,0,1,0,210,360,1,0,8566,1
0,0,0,0,0,65,300,1,1,2755,0
0,0,1,0,0,94,360,1,2,3981,1
0,1,2,0,0,129,360,1,1,5630,0
0,1,2,1,0,127,360,0,2,4400,0
1,0,0,1,0,115,360,1,2,4124,1
0,1,2,0,0,112,360,0,1,5282,0
0,1,0,1,0,75,180,1,0,9323,1
0,1,1,1,0,107,360,1,1,4014,1
1,1,0,1,0,182,360,1,2,6486,1
0,1,1,1,1,160,180,0,0,14363,0
0,1,0,0,0,152,360,0,1,6753,0
0,1,2,1,0,120,360,1,1,10819,1
0,1,1,1,1,155,360,1,1,10000,0
1,0,1,0,1,62,360,1,2,3867,0
1,0,1,1,0,155,36,1,2,3481,0
0,1,0,0,0,115,180,1,2,4188,1
0,1,0,1,0,128,360,1,2,5233,1
0,0,1,1,0,152,360,1,2,37719,1
0,0,2,1,0,107,360,1,2,3617,1
0,0,0,1,0,50,360,1,2,3777,1
0,1,3,0,0,129.2886164,180,1,0,3992,0
